指标,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
用水总量(亿立方米),38.9,34.6,35.8,34.6,34.5,34.3,34.8,35.1,35.5,35.2,36,35.9,36.4,37.5,38.2,38.8,39.5,39.3,41.7,40.6,40.8,40,40.7,42.1
农业,17.4,15.5,13.8,13.5,13.2,12.8,12.4,12,12,11.4,10.9,9.3,9.1,8.2,6.5,6,5.1,4.2,3.7,3.2,2.8,2.6,2.5,2.4
工业,9.2,7.5,8.4,7.7,6.8,6.2,5.8,5.2,5.2,5.1,5,4.9,5.1,5.1,3.9,3.8,3.5,3.3,3.3,3,2.8,2.4,2.8,2.8
生活,12,10.8,13,12.8,13.4,13.7,13.9,14.7,14.7,14.8,15.6,16,16.2,17,17.5,17.8,18.3,18.4,18.7,17.2,19.4,18.6,19,19.3
生态,0.3,0.8,0.6,0.6,1.1,1.6,2.7,3.2,3.6,4,4.5,5.7,5.9,7.2,10.4,11.1,12.7,13.4,16,17.2,15.7,16.4,16.4,17.6
,,,,,,,,,,,,,,,,,,,,,,,,
降水量（毫米）,338.9,370.4,444.9,483.5,410.7,318,483.9,626.3,480.6,522.5,720.6,733.2,578.9,461.5,458.6,669.1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
水价（居民生活）,,,,,,,,,,,,,,,,,,,,,,,,
自来水单价,,,,,,,2.8,2.8,2.8,2.96,2.96,2.96,2.96,2.96,3.64,3.64,,,,,,,,
污水处理费,,,,,,,0.9,0.9,0.9,1.04,1.04,1.04,1.04,1.04,1.36,1.36,,,,,,,,
水价总和,,,,,,,3.7,3.7,3.7,4,4,4,4,4,5,5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
水价（工业）,,,,,,,,,,,,,,,,,,,,,,,,
自来水单价,,,,,,,4.1,4.1,4.1,4.44,4.44,4.44,4.44,4.44,8.15,8.15,,,,,,,,
污水处理费,,,,,,,1.5,1.5,1.5,1.77,1.77,1.77,1.77,1.77,1.77,1.77,  ,,,,,,,
水价总和,,,,,,,5.6,5.6,5.6,6.21,6.21,6.21,6.21,6.21,9.92,9.92,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
耕地面积（万公顷）,29.2,27.5,26,23.6,23.3,23.3,23.2,23.2,22.7,22.4,22.2,22.1,22.1,22,21.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
常住人口（万人）,1385.1,1423.2,1456.4,1492.7,1538,1601,1676,1771,1860,1961.9,2018.6,2069.3,2114.8,2151.6,2170.5,2172.9,,,,,,,,
