年份,总用水量,人口,GDP,农业用水,工业用水,生活用水,生态用水
2000,54.976,126.743,100.2801,37.835,11.391,5.749,0.7
2001,55.674,127.627,110.8631,38.257,11.418,5.999,0.7
2002,54.973,128.453,121.7174,37.362,11.424,6.187,0.7
2003,53.204,129.227,137.422,34.328,11.772,6.309,0.795
2004,55.478,129.988,161.8402,35.857,12.289,6.512,0.82
2005,56.33,130.756,187.3189,35.8,12.852,6.751,0.927
2006,57.95,131.448,219.4385,36.644,13.438,6.938,0.93
2007,58.187,132.129,270.2323,35.995,14.03,7.104,1.057
2008,59.1,132.802,319.5155,36.635,13.971,7.293,1.202
2009,59.652,133.45,349.0814,37.231,13.909,7.482,1.03
2010,60.22,134.091,413.0303,36.891,14.473,7.658,1.198
2011,61.072,134.735,489.3006,37.436,14.618,7.899,1.119
2012,61.418,135.404,540.3674,38.803,14.239,7.288,1.088
2013,61.834,136.072,595.2444,39.215,14.064,7.501,1.054
2014,60.949,136.782,643.974,38.69,13.561,7.666,1.032
2015,61.032,137.462,680.9521,38.515,13.348,7.942,1.227
2016,60.402,138.271,744.1272,37.68,13.08,8.216,1.426
2017,60.434,139.008,827.122,37.664,12.77,8.381,1.619
2018,60.155,139.538,900.309,36.931,12.616,8.599,2.009
2019,60.212,140.005,990.865,36.823,12.176,8.717,2.496
2020,58.129,141.178,1015.986,36.124,10.304,8.631,3.07
2021,59.202,141.26,1143.67,36.443,10.496,9.094,3.169
2022,59.982,141.175,1210.207,37.813,9.684,9.057,3.428
2023,59.065,140.967,1260.582,36.724,9.702,9.098,3.541
2024,59.28,140.828,1349.084,36.484,9.71,9.268,3.818
